,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code
0,AFG,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Afghanistan,2022,,0.2,4
1,AGO,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Angola,2022,,0.5,24
2,ALB,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Albania,2022,,0.9,8
3,AND,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Andorra,2022,,0.3,20
4,ARE,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),United Arab Emirates,2022,,1.5,784
5,ARG,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Argentina,2022,,0.7,32
6,ARM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Armenia,2022,,0.7,51
7,ATG,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Antigua and Barbuda,2022,,0.6,28
8,AUS,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Australia,2022,,0.4,36
9,AUT,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Austria,2022,,0.3,40
10,BDI,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Burundi,2022,,3.3,108
11,BEL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Belgium,2022,,0.1,56
12,BEN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Benin,2022,,0.9,204
13,BFA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Burkina Faso,2022,,1.2,854
14,BGR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Bulgaria,2022,,0.9,100
15,BHR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Bahrain,2022,,1.1,48
16,BHS,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Bahamas,2022,,0.6,44
17,BIH,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Bosnia and Herzegovina,2022,,0.6,70
18,BLR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Belarus,2022,,2.1,112
19,BLZ,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Belize,2022,,0.6,84
20,BOL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Bolivia (Plurinational State of),2022,,0.3,68
21,BRA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Brazil,2022,,0.3,76
22,BRB,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Barbados,2022,,0.6,52
23,BRN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Brunei Darussalam,2022,,0.3,96
24,BTN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Bhutan,2022,,0.2,64
25,BWA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Botswana,2022,,0.4,72
26,CAF,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Central African Republic,2022,,0.3,140
27,CAN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Canada,2022,,0.3,124
28,CHE,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Switzerland,2022,,0.4,756
29,CHL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Chile,2022,,0.2,152
30,CIV,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Cote d'Ivoire,2022,,0.7,384
31,CMR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Cameroon,2022,,0.6,120
32,COD,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Democratic Republic of the Congo,2022,,0.4,180
33,COG,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Congo,2022,,0.5,178
34,COK,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Cook Islands,2022,,1.0,184
35,COL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Colombia,2022,,0.6,170
36,COM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Comoros,2022,,0.7,174
37,CPV,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Cabo Verde,2022,,0.7,132
38,CRI,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Costa Rica,2022,,0.5,188
39,CUB,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Cuba,2022,,0.5,192
40,CYP,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Cyprus,2022,,0.2,196
41,CZE,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Czechia,2022,,0.6,203
42,DEU,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Germany,2022,,0.2,276
43,DJI,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Djibouti,2022,,0.7,262
44,DMA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Dominica,2022,,0.6,212
45,DNK,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Denmark,2022,,0.2,208
46,DOM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Dominican Republic,2022,,0.6,214
47,DZA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Algeria,2022,,0.6,12
48,ECU,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Ecuador,2022,,0.6,218
49,EGY,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Egypt,2022,,0.4,818
50,ERI,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Eritrea,2022,,0.7,232
51,ESP,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Spain,2022,,0.1,724
52,EST,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Estonia,2022,,0.9,233
53,ETH,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Ethiopia,2022,,0.5,231
54,FIN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Finland,2022,,0.5,246
55,FJI,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Fiji,2022,,0.1,242
56,FRA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),France,2022,,0.3,250
57,FSM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Micronesia (Federated States of),2022,,1.0,583
58,GAB,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Gabon,2022,,4.3,266
59,GBR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),United Kingdom of Great Britain and Northern Ireland,2022,,0.2,826
60,GEO,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Georgia,2022,,2.3,268
61,GHA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Ghana,2022,,1.3,288
62,GIN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Guinea,2022,,0.7,324
63,GMB,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Gambia,2022,,0.7,270
64,GNB,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Guinea-Bissau,2022,,0.7,624
65,GNQ,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Equatorial Guinea,2022,,0.5,226
66,GRC,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Greece,2022,,0.4,300
67,GRD,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Grenada,2022,,0.6,308
68,GTM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Guatemala,2022,,0.5,320
69,GUY,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Guyana,2022,,0.6,328
70,HND,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Honduras,2022,,0.5,340
71,HRV,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Croatia,2022,,0.5,191
72,HTI,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Haiti,2022,,0.6,332
73,HUN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Hungary,2022,,0.2,348
74,IDN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Indonesia,2022,,0.5,360
75,IRL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Ireland,2022,,0.2,372
76,IRN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Iran (Islamic Republic of),2022,,0.2,364
77,IRQ,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Iraq,2022,,0.3,368
78,ISL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Iceland,2022,,0.1,352
79,ISR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Israel,2022,,0.7,376
80,ITA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Italy,2022,,0.7,380
81,JAM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Jamaica,2022,,0.6,388
82,JOR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Jordan,2022,,0.2,400
83,JPN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Japan,2022,,0.4,392
84,KAZ,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Kazakhstan,2022,,2.0,398
85,KEN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Kenya,2022,,0.9,404
86,KGZ,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Kyrgyzstan,2022,,2.5,417
87,KHM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Cambodia,2022,,1.2,116
88,KIR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Kiribati,2022,,1.0,296
89,KNA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Saint Kitts and Nevis,2022,,0.6,659
90,KOR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Republic of Korea,2022,,0.2,410
91,KWT,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Kuwait,2022,,0.5,414
92,LAO,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Lao People's Democratic Republic,2022,,0.6,418
93,LBN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Lebanon,2022,,0.1,422
94,LBR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Liberia,2022,,0.7,430
95,LBY,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Libya,2022,,1.4,434
96,LCA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Saint Lucia,2022,,0.6,662
97,LKA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Sri Lanka,2022,,0.6,144
98,LSO,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Lesotho,2022,,0.4,426
99,LTU,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Lithuania,2022,,0.8,440
100,LUX,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Luxembourg,2022,,0.2,442
101,LVA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Latvia,2022,,1.6,428
102,MAR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Morocco,2022,,0.3,504
103,MCO,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Monaco,2022,,0.3,492
104,MDA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Republic of Moldova,2022,,2.1,498
105,MDG,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Madagascar,2022,,0.4,450
106,MDV,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Maldives,2022,,0.6,462
107,MEX,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Mexico,2022,,0.5,484
108,MHL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Marshall Islands,2022,,1.0,584
109,MKD,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),North Macedonia,2022,,0.6,807
110,MLI,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Mali,2022,,0.7,466
111,MLT,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Malta,2022,,0.1,470
112,MNE,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Montenegro,2022,,0.6,499
113,MNG,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Mongolia,2022,,3.7,496
114,MOZ,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Mozambique,2022,,0.7,508
115,MRT,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Mauritania,2022,,0.7,478
116,MUS,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Mauritius,2022,,0.6,480
117,MWI,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Malawi,2022,,0.7,454
118,MYS,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Malaysia,2022,,0.2,458
119,NAM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Namibia,2022,,0.4,516
120,NER,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Niger,2022,,0.7,562
121,NGA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Nigeria,2022,,0.6,566
122,NIC,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Nicaragua,2022,,0.5,558
123,NIU,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Niue,2022,,1.0,570
124,NLD,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Netherlands (Kingdom of the),2022,,0.0,528
125,NOR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Norway,2022,,0.2,578
126,NPL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Nepal,2022,,0.4,524
127,NRU,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Nauru,2022,,1.0,520
128,NZL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),New Zealand,2022,,0.4,554
129,OMN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Oman,2022,,0.3,512
130,PAK,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Pakistan,2022,,4.1,586
131,PAN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Panama,2022,,0.3,591
132,PER,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Peru,2022,,0.2,604
133,PHL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Philippines,2022,,0.4,608
134,PLW,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Palau,2022,,1.0,585
135,PNG,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Papua New Guinea,2022,,1.1,598
136,POL,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Poland,2022,,0.3,616
137,PRT,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Portugal,2022,,0.4,620
138,PRY,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Paraguay,2022,,0.3,600
139,QAT,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Qatar,2022,,1.5,634
140,ROU,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Romania,2022,,0.7,642
141,RUS,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Russian Federation,2022,,1.9,643
142,RWA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Rwanda,2022,,0.5,646
143,SAU,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Saudi Arabia,2022,,0.1,682
144,SDN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Sudan,2022,,1.1,729
145,SEN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Senegal,2022,,0.7,686
146,SGP,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Singapore,2022,,0.3,702
147,SLB,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Solomon Islands,2022,,1.0,90
148,SLE,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Sierra Leone,2022,,0.7,694
149,SLV,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),El Salvador,2022,,0.2,222
150,SMR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),San Marino,2022,,0.3,674
151,SOM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Somalia,2022,,0.7,706
152,SRB,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Serbia,2022,,0.6,688
153,SSD,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),South Sudan,2022,,0.7,728
154,STP,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Sao Tome and Principe,2022,,0.7,678
155,SUR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Suriname,2022,,0.6,740
156,SVK,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Slovakia,2022,,0.5,703
157,SVN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Slovenia,2022,,0.1,705
158,SWE,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Sweden,2022,,0.1,752
159,SWZ,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Eswatini,2022,,0.4,748
160,SYC,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Seychelles,2022,,0.6,690
161,SYR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Syrian Arab Republic,2022,,1.3,760
162,TCD,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Chad,2022,,0.8,148
163,TGO,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Togo,2022,,0.7,768
164,THA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Thailand,2022,,0.5,764
165,TJK,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Tajikistan,2022,,2.6,762
166,TKM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Turkmenistan,2022,,2.5,795
167,TLS,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Timor-Leste,2022,,0.6,626
168,TON,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Tonga,2022,,1.0,776
169,TTO,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Trinidad and Tobago,2022,,0.6,780
170,TUN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Tunisia,2022,,0.4,788
171,TUR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Türkiye,2022,,0.3,792
172,TUV,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Tuvalu,2022,,1.0,798
173,TZA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),United Republic of Tanzania,2022,,0.2,834
174,UGA,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Uganda,2022,,0.7,800
175,UKR,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Ukraine,2022,,3.4,804
176,URY,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Uruguay,2022,,0.5,858
177,UZB,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Uzbekistan,2022,,3.0,860
178,VCT,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Saint Vincent and the Grenadines,2022,,0.6,670
179,VEN,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Venezuela (Bolivarian Republic of),2022,,0.6,862
180,VNM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Viet Nam,2022,,0.9,704
181,VUT,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Vanuatu,2022,,1.0,548
182,WSM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Samoa,2022,,1.0,882
183,YEM,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Yemen,2022,,0.8,887
184,ZAF,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),South Africa,2022,,0.4,710
185,ZMB,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Zambia,2022,,0.7,894
186,ZWE,,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),Zimbabwe,2022,,0.4,716
